'Station','Depth','=','Depth'
'IQAV2HO','hobo1','=','0'
'IQAV2TC','T01','=','25'
'IQAV2TC','T02','=','50'
'IQAV2TC','T03','=','75'
'IQAV2TC','T04','=','100'
'IQAV2TC','T05','=','150'
'IQAV2TC','T06','=','200'
'IQAV2TC','T07','=','300'
'IQAV2TC','T08','=','400'
'IQAV2TC','T09','=','500'
'IQAV2TC','T10','=','600'
'IQAV2TC','T11','=','700'
'IQAV2TC','T12','=','800'
'IQAV2TC','T13','=','900'
'IQAV2TC','T14','=','1000'
'IQAV2TC','T15','=','1200'
'IQAV2TC','T16','=','1500'
'IQAV3HO','hobo1','=','0'
'IQAV3TC','T01','=','25'
'IQAV3TC','T02','=','50'
'IQAV3TC','T03','=','75'
'IQAV3TC','T04','=','100'
'IQAV3TC','T05','=','150'
'IQAV3TC','T06','=','200'
'IQAV3TC','T07','=','300'
'IQAV3TC','T08','=','400'
'IQAV3TC','T09','=','500'
'IQAV3TC','T10','=','600'
'IQAV3TC','T11','=','700'
'IQAV3TC','T12','=','800'
'IQAV3TC','T13','=','900'
'IQAV3TC','T14','=','1000'
'IQAV3TC','T15','=','1200'
'IQAV3TC','T16','=','1470'
'IQAV4HO','hobo1','=','0'
'IQAV4TC','T01','=','25'
'IQAV4TC','T02','=','50'
'IQAV4TC','T03','=','75'
'IQAV4TC','T04','=','100'
'IQAV4TC','T05','=','150'
'IQAV4TC','T06','=','200'
'IQAV4TC','T07','=','250'
'IQAV4TC','T08','=','330'
'PAN01HO','hobo1','=','0'
'PAN01TC','T01','=','25'
'PAN01TC','T02','=','50'
'PAN01TC','T03','=','75'
'PAN01TC','T04','=','100'
'PAN01TC','T05','=','150'
'PAN01TC','T06','=','200'
'PAN01TC','T07','=','300'
'PAN01TC','T08','=','400'
'PAN01TC','T09','=','500'
'PAN01TC','T10','=','600'
'PAN01TC','T11','=','800'
'PAN01TC','T12','=','900'
'PAN01TC','T13','=','1000'
'PAN01TC','T14','=','1200'
'PAN01TC','T15','=','1385'
'PAN02HO','hobo1','=','0'
'PAN02TC','T01','=','25'
'PAN02TC','T02','=','50'
'PAN02TC','T03','=','75'
'PAN02TC','T04','=','100'
'PAN02TC','T05','=','150'
'PAN02TC','T06','=','200'
'PAN02TC','T07','=','300'
'PAN02TC','T08','=','400'
'PAN02TC','T09','=','500'
'PAN02TC','T10','=','600'
'PAN02TC','T11','=','800'
'PAN02TC','T12','=','1000'
'PAN02TC','T13','=','1200'
'PAN02TC','T14','=','1490'
'PAN06HO','hobo1','=','0'
'PAN06TC','T01','=','25'
'PAN06TC','T02','=','50'
'PAN06TC','T03','=','75'
'PAN06TC','T04','=','100'
'PAN06TC','T05','=','125'
'PAN06TC','T06','=','150'
'PAN06TC','T07','=','200'
'PAN06TC','T08','=','250'
'PAN06TC','T09','=','315'
'PAN14HO','hobo1','=','0'
'PAN14TC','T01','=','25'
'PAN14TC','T02','=','50'
'PAN14TC','T03','=','75'
'PAN14TC','T04','=','100'
'PAN14TC','T05','=','125'
'PAN14TC','T06','=','150'
'PAN14TC','T07','=','200'
'PAN14TC','T08','=','270'
'SALHO01','','=','0'
'SALHO02','','=','0'
'SALHO03','','=','0'
'SALHO04','','=','0'
'SALHO05','','=','0'
'SALHO06','','=','0'
'SALHO07','','=','0'
'SALHO09','','=','0'
'SALHO10','','=','0'
'SALHO11','','=','0'
'SALHO12','','=','0'
'SALHO13','','=','0'
'SALHO14','','=','0'
'SALHO17','','=','0'
'SALHO18','','=','0'
'SALHO19','','=','0'
'SALHO21','','=','0'
